"Rk","Team","Span.Started","Span.Ended","Final.Record","Postseason","G","W","L","W.L.","MP","AST","STL","BLK","TOV","PF","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","MP_opp","FG","FGA","FG.","X2P","X2PA","X2P.","X3P","X3PA","X3P.","FT","FTA","FT.","PTS","FG_opp","FGA_opp","FG._opp","X2P_opp","X2PA_opp","X2P._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","PTS_opp","ORB","DRB","TRB","ORB_opp","DRB_opp","TRB_opp","ORB_perc","TRB_perc","ORB_perc_opp","TRB_perc_opp","AST_perc","STL_perc","BLK_perc","TOV_perc","AST_perc_opp","STL_perc_opp","BLK_perc_opp","TOV_perc_opp","ORtg","FTr","X3PAr","TS_perc","eFG_perc","FTtoFGA","ORtg_opp","FTr_opp","X3PAr_opp","TS_perc_opp","eFG_perc_opp","FTtoFGA_opp","Y"
1,"GSW","2016-10-25","2017-01-18",0.817073170731707,"Won Championship",42,36,6,0.857,241.785714285714,31.4047619047619,9.42857142857143,6.30952380952381,14.9761904761905,19.4047619047619,21.7619047619048,9,3.73809523809524,14.4761904761905,20.3809523809524,241.785714285714,43.6666666666667,87.3095238095238,0.5,31.8809523809524,56.6666666666667,0.563,11.7857142857143,30.6428571428571,0.385,18.6666666666667,23.6428571428571,0.79,117.785714285714,38.8333333333333,89.8809523809524,0.0102857142857143,29.6190476190476,61.1428571428571,0.484,9.21428571428571,28.7380952380952,0.321,18.0952380952381,23.6190476190476,0.766,104.97619047619,9.09523809523809,36.2619047619048,45.3571428571429,11.5,31.7857142857143,43.2857142857143,22.2,48.8,24.1,48.8,71.9,9.3,10.3,13.3,56,8.9,6.6,12.6,116.6,0.271,0.351,0.603,0.568,0.214,103.9,0.263,0.32,0.523,0.483,0.201,"A"
2,"GSW","2017-10-17","2018-01-10",0.707317073170732,"Won Championship",42,33,9,0.786,241.190476190476,30.6666666666667,8.35714285714286,8.33333333333333,15.547619047619,20.047619047619,23.1190476190476,8.83333333333333,3.85714285714286,13.8571428571429,18.4761904761905,241.190476190476,43.5714285714286,85.8571428571429,0.507,31.8809523809524,55.8571428571429,0.571,11.6904761904762,30,0.39,16.9047619047619,20.7857142857143,0.813,115.738095238095,39.2857142857143,90.1904761904762,0.0103809523809524,28.7619047619048,61.1666666666667,0.47,10.5238095238095,29.0238095238095,0.363,17.5,23.2380952380952,0.753,106.595238095238,8.52380952380952,36.2380952380952,44.7619047619048,11.1428571428571,31.0238095238095,42.1666666666667,21.6,48.5,23.5,48.5,70.4,8.3,13.6,14.1,58.8,8.8,6.9,12.1,115.5,0.242,0.349,0.609,0.576,0.197,106.4,0.258,0.322,0.531,0.494,0.194,"A"
3,"GSW","2015-10-27","2016-01-18",0.890243902439024,"Conference Champ",42,38,4,0.905,242.380952380952,28.6666666666667,8.26190476190476,6.47619047619048,15.0238095238095,20.7380952380952,21.4047619047619,8.59523809523809,3.95238095238095,14.1190476190476,20.6666666666667,242.380952380952,42.0238095238095,86.5476190476191,0.486,29.2142857142857,56.4523809523809,0.518,12.8095238095238,30.0952380952381,0.426,17.452380952381,23.1904761904762,0.753,114.309523809524,38.5476190476191,89.9761904761905,0.0101904761904762,31.4285714285714,67.4285714285714,0.466,7.11904761904762,22.547619047619,0.316,18.4047619047619,24.2380952380952,0.759,102.619047619048,10.4047619047619,36.1190476190476,46.5238095238095,11.8809523809524,31.7857142857143,43.6666666666667,24.7,48.4,24.8,48.4,68.2,8.3,9.6,13.4,55.5,8.6,7,12.3,114.7,0.268,0.348,0.591,0.56,0.202,103,0.269,0.251,0.51,0.468,0.205,"A"
4,"GSW","2018-10-16","2019-01-11",0.695121951219512,"Conference Champ",42,28,14,0.667,242.380952380952,28.5,7.28571428571429,6.35714285714286,14.2142857142857,21.7857142857143,24,7.90476190476191,3.42857142857143,12.7619047619048,20.2619047619048,242.380952380952,43.5,89.3809523809524,0.487,31,56.7857142857143,0.546,12.5,32.5952380952381,0.383,17.8809523809524,21.6904761904762,0.824,117.380952380952,40.7142857142857,90.5238095238095,0.0107142857142857,29.1428571428571,57.0238095238095,0.511,11.5714285714286,33.5,0.345,18.6666666666667,24.547619047619,0.76,111.666666666667,9.97619047619048,36.1666666666667,46.1428571428571,10,33.0476190476191,43.0476190476191,23.2,48.3,21.7,48.3,65.5,7.2,11.1,12.6,58.9,7.8,6,11.2,116,0.243,0.365,0.593,0.557,0.2,110.3,0.271,0.37,0.551,0.514,0.206,"A"
5,"MEM","2019-10-23","2020-01-17",0.465753424657534,"",42,20,22,0.476,240.595238095238,28.0238095238095,7.95238095238095,5.47619047619048,14.7142857142857,21.5238095238095,24.8333333333333,7.71428571428571,5.30952380952381,14.3571428571429,19.7380952380952,240.595238095238,42.9761904761905,91.1904761904762,0.471,31.1904761904762,58.3809523809524,0.534,11.7857142857143,32.8095238095238,0.359,15.8095238095238,20.047619047619,0.789,113.547619047619,41.5476190476191,90.0238095238095,0.011,29.0238095238095,55.7142857142857,0.521,12.5238095238095,34.3095238095238,0.365,20.1428571428571,25.4761904761905,0.791,115.761904761905,9.92857142857143,35.5952380952381,45.5238095238095,9.92857142857143,34.9047619047619,44.8333333333333,22.1,49.6,21.8,49.6,65.2,7.7,9.8,12.8,59.8,7.5,9.1,12.4,110.4,0.22,0.36,0.568,0.536,0.173,112.5,0.283,0.381,0.572,0.531,0.224,"C"
6,"GSW","2021-10-19","2022-01-14",0.646341463414634,"Won Championship",42,31,11,0.738,240.595238095238,27.952380952381,9.61904761904762,4.97619047619048,15.0952380952381,20.1190476190476,21.8571428571429,8.35714285714286,3.9047619047619,14.7857142857143,17.7619047619048,240.595238095238,40.3095238095238,86.3809523809524,0.467,25.9285714285714,46.5476190476191,0.557,14.3809523809524,39.8333333333333,0.361,15.1666666666667,20.1666666666667,0.752,110.166666666667,36.7142857142857,85.8571428571429,0.0101904761904762,24.9047619047619,49.8809523809524,0.499,11.8095238095238,35.9761904761905,0.328,16.3333333333333,21.8095238095238,0.749,101.571428571429,9.83333333333333,36.3809523809524,46.2142857142857,9.38095238095238,32.8333333333333,42.2142857142857,23,47.7,20.5,47.7,69.3,9.8,10,13.7,59.5,8.5,8.4,13.4,112,0.233,0.461,0.578,0.55,0.176,103.2,0.254,0.419,0.532,0.496,0.19,"A"
7,"GSW","2020-12-22","2021-03-19",0.541666666666667,"",42,22,20,0.524,240.595238095238,27.8333333333333,8.16666666666667,4.85714285714286,14.6666666666667,21.7619047619048,23.6904761904762,7.54761904761905,4.76190476190476,15.2142857142857,20.4285714285714,240.595238095238,41.1904761904762,88.7857142857143,0.464,27.3095238095238,50.9523809523809,0.536,13.8809523809524,37.8333333333333,0.367,16.8571428571429,21.7857142857143,0.774,113.119047619048,39.9047619047619,89.2142857142857,0.0106428571428571,26.8809523809524,53.9523809523809,0.498,13.0238095238095,35.2619047619048,0.369,20.2857142857143,26.0714285714286,0.778,113.119047619048,7.88095238095238,35.1666666666667,43.0476190476191,10.952380952381,37.5,48.4523809523809,17.4,53,23.7,53,67.6,7.9,9,13,59.4,7.3,9.3,13.1,110,0.245,0.426,0.575,0.542,0.19,110,0.292,0.395,0.562,0.52,0.227,"C"
8,"SAS","2021-10-20","2022-01-14",0.414634146341463,"",42,15,27,0.357,241.785714285714,27.7619047619048,7.95238095238095,5.11904761904762,12.6904761904762,18.047619047619,23.8333333333333,7.42857142857143,5.64285714285714,13.6190476190476,18.5238095238095,241.785714285714,43.2380952380952,93.5476190476191,0.462,32.2619047619048,62.6904761904762,0.515,10.9761904761905,30.8571428571429,0.356,13.3333333333333,18.2857142857143,0.729,110.785714285714,42.1666666666667,90.8571428571429,0.011047619047619,30.047619047619,57.0238095238095,0.527,12.1190476190476,33.8333333333333,0.358,14.9285714285714,19.9761904761905,0.747,111.380952380952,11.047619047619,34.7857142857143,45.8333333333333,11.047619047619,36.1666666666667,47.2142857142857,23.4,50.7,24.1,50.7,64.2,7.9,9,11.1,56.5,7.4,9,12,110.3,0.195,0.33,0.545,0.521,0.143,110.9,0.22,0.372,0.559,0.531,0.164,"D"
9,"PHO","2019-10-23","2020-01-18",0.465753424657534,"",42,18,24,0.429,241.785714285714,27.6428571428571,7.80952380952381,3.83333333333333,14.1190476190476,22.4047619047619,23.6666666666667,7.80952380952381,5.57142857142857,15.5714285714286,23.2380952380952,241.785714285714,41.3333333333333,89.2142857142857,0.463,29.9047619047619,56.2142857142857,0.532,11.4285714285714,33,0.346,19.4047619047619,24.047619047619,0.807,113.5,41.4047619047619,87.8571428571429,0.0112142857142857,29.5952380952381,55.6666666666667,0.532,11.8095238095238,32.1904761904762,0.367,19.3571428571429,25.0952380952381,0.771,113.97619047619,9.71428571428571,34.1666666666667,43.8809523809524,9.09523809523809,35.6190476190476,44.7142857142857,21.4,50.5,21,50.5,66.9,7.6,6.9,12.4,57.2,7.6,9.9,13.6,110.7,0.27,0.37,0.569,0.527,0.218,111.2,0.286,0.366,0.576,0.538,0.22,"C"
10,"PHO","2020-12-23","2021-03-23",0.708333333333333,"Conference Champ",42,29,13,0.69,242.380952380952,27.3809523809524,6.57142857142857,4.30952380952381,12.7619047619048,19.8095238095238,21.8809523809524,7.09523809523809,3.78571428571429,12.6666666666667,17.9047619047619,242.380952380952,42.8571428571429,87.5,0.49,29.6666666666667,53.0476190476191,0.559,13.1904761904762,34.4523809523809,0.383,15.0952380952381,18.2142857142857,0.829,114,39.6428571428571,86.6428571428571,0.0109047619047619,28.5714285714286,54.4761904761905,0.524,11.0714285714286,32.1666666666667,0.344,16.9761904761905,22.2142857142857,0.764,107.333333333333,8.16666666666667,35.1190476190476,43.2857142857143,9.54761904761905,33.5238095238095,43.0714285714286,19.6,49.9,21.4,49.9,63.9,6.7,7.9,11.8,55.2,7.3,7.1,11.6,116.5,0.208,0.394,0.597,0.565,0.173,109.7,0.256,0.371,0.557,0.521,0.196,"A"
