"","ORB_perc","TRB_perc","ORB_perc_opp","TRB_perc_opp","AST_perc","STL_perc","BLK_perc","TOV_perc","AST_perc_opp","STL_perc_opp","BLK_perc_opp","TOV_perc_opp","ORtg","FTr","X3PAr","TS_perc","eFG_perc","FTtoFGA","ORtg_opp","FTr_opp","X3PAr_opp","TS_perc_opp","eFG_perc_opp","FTtoFGA_opp"
"1",22.2,48.8,24.1,48.8,71.9,9.3,10.3,13.3,56,8.9,6.6,12.6,116.6,0.271,0.351,0.603,0.568,0.214,103.9,0.263,0.32,0.523,0.483,0.201
"2",21.6,48.5,23.5,48.5,70.4,8.3,13.6,14.1,58.8,8.8,6.9,12.1,115.5,0.242,0.349,0.609,0.576,0.197,106.4,0.258,0.322,0.531,0.494,0.194
"3",24.7,48.4,24.8,48.4,68.2,8.3,9.6,13.4,55.5,8.6,7,12.3,114.7,0.268,0.348,0.591,0.56,0.202,103,0.269,0.251,0.51,0.468,0.205
"4",23.2,48.3,21.7,48.3,65.5,7.2,11.1,12.6,58.9,7.8,6,11.2,116,0.243,0.365,0.593,0.557,0.2,110.3,0.271,0.37,0.551,0.514,0.206
"5",22.1,49.6,21.8,49.6,65.2,7.7,9.8,12.8,59.8,7.5,9.1,12.4,110.4,0.22,0.36,0.568,0.536,0.173,112.5,0.283,0.381,0.572,0.531,0.224
"6",23,47.7,20.5,47.7,69.3,9.8,10,13.7,59.5,8.5,8.4,13.4,112,0.233,0.461,0.578,0.55,0.176,103.2,0.254,0.419,0.532,0.496,0.19
"7",17.4,53,23.7,53,67.6,7.9,9,13,59.4,7.3,9.3,13.1,110,0.245,0.426,0.575,0.542,0.19,110,0.292,0.395,0.562,0.52,0.227
"8",23.4,50.7,24.1,50.7,64.2,7.9,9,11.1,56.5,7.4,9,12,110.3,0.195,0.33,0.545,0.521,0.143,110.9,0.22,0.372,0.559,0.531,0.164
"9",21.4,50.5,21,50.5,66.9,7.6,6.9,12.4,57.2,7.6,9.9,13.6,110.7,0.27,0.37,0.569,0.527,0.218,111.2,0.286,0.366,0.576,0.538,0.22
"10",19.6,49.9,21.4,49.9,63.9,6.7,7.9,11.8,55.2,7.3,7.1,11.6,116.5,0.208,0.394,0.597,0.565,0.173,109.7,0.256,0.371,0.557,0.521,0.196
"11",23.8,49.9,26.3,49.9,65.1,9.5,9.8,13.4,55.7,8.8,5.9,13.8,112.7,0.254,0.308,0.581,0.546,0.199,100.7,0.285,0.255,0.506,0.462,0.213
"12",22.3,52.2,25,52.2,63.3,8.9,10.2,11,61.7,7.3,9,13,113.7,0.22,0.41,0.567,0.541,0.162,114.1,0.242,0.44,0.577,0.544,0.189
"13",28,47.1,22,47.1,65.1,8.3,8.6,11.9,60.9,7.9,9,11.9,113.7,0.244,0.34,0.557,0.525,0.183,108.6,0.261,0.367,0.55,0.516,0.195
"14",23.3,50.5,23.3,50.5,66.7,8.2,9.8,13.2,66.8,8.3,10,13.2,112.5,0.243,0.411,0.573,0.54,0.189,113.9,0.222,0.455,0.585,0.559,0.166
"15",23.8,47.9,21.1,47.9,65.8,7.2,8.6,13.3,54.2,7.8,7.3,11.2,111.5,0.32,0.36,0.573,0.532,0.245,109.4,0.274,0.327,0.547,0.507,0.213
"16",25.7,48,23.1,48,61.8,7.4,9.5,12.4,59.7,8.4,8.5,11.5,114.9,0.283,0.311,0.576,0.538,0.22,112.6,0.271,0.364,0.566,0.531,0.204
"17",24.1,48.8,22.5,48.8,61.8,8.4,8.6,11.5,65.8,7.3,7.9,12.7,118.4,0.218,0.388,0.592,0.563,0.171,113.1,0.257,0.417,0.578,0.545,0.197
"18",19.8,51.9,23.5,51.9,63.5,8.5,10.6,11.8,62.6,7.3,9.5,13.1,112.2,0.23,0.382,0.573,0.541,0.181,112.4,0.257,0.359,0.575,0.538,0.205
"19",21.2,49,22.1,49,61.4,6.5,9.2,12.4,57.4,7.8,8.8,10.5,119.5,0.261,0.424,0.618,0.585,0.209,114.6,0.229,0.382,0.567,0.535,0.178
"20",24.1,48.9,20.2,48.9,62.6,9.6,8.6,11.3,62.8,8,9,13.6,111.1,0.219,0.327,0.552,0.519,0.172,110.5,0.254,0.404,0.577,0.543,0.197
"21",21.4,47.4,19.6,47.4,61.1,7.4,10.7,12.2,60.8,6.8,8.6,12,114.2,0.253,0.424,0.584,0.553,0.194,105.1,0.238,0.392,0.535,0.503,0.177
"22",20.3,50.1,21.6,50.1,65.7,7.5,7.5,12.2,60.7,7.6,9.6,11.8,111.2,0.207,0.421,0.568,0.54,0.159,110.2,0.23,0.402,0.56,0.53,0.172
"23",22,48.7,20.6,48.7,61.5,6.7,7.9,13.5,56.3,8.5,8.9,11.6,112.2,0.212,0.385,0.583,0.552,0.17,112.6,0.269,0.367,0.572,0.536,0.207
"24",24.7,49.3,22.9,49.3,63.5,8.1,8.6,11.3,62.7,7.1,7.9,12.6,112.2,0.24,0.334,0.554,0.52,0.184,108.5,0.254,0.384,0.553,0.518,0.193
"25",24.1,47.2,19.1,47.2,63.7,8.3,9.9,12.5,55.9,7.4,6.9,12.4,110.3,0.247,0.343,0.56,0.529,0.183,106.9,0.284,0.324,0.549,0.513,0.209
"26",20,50.4,23.2,50.4,63.2,7.5,8.5,14,57.6,8.9,7.8,12.2,111.1,0.265,0.346,0.587,0.554,0.202,111.1,0.23,0.343,0.56,0.526,0.181
"27",27.4,46.4,20.2,46.4,61,7.3,8.5,12,64,7.6,10.1,11.3,117,0.282,0.358,0.58,0.548,0.207,116.9,0.231,0.448,0.594,0.56,0.187
"28",22.5,49.7,23.4,49.7,61.8,8.7,7.6,12,58.2,8,7.3,12.8,113.2,0.221,0.356,0.574,0.541,0.178,105.4,0.234,0.385,0.532,0.499,0.175
"29",23.3,47.1,19.5,47.1,58.6,7.8,8.7,11.7,59.7,6.7,8.7,11,117.7,0.233,0.409,0.594,0.567,0.175,110.4,0.198,0.41,0.558,0.529,0.155
"30",24.5,47.9,21.9,47.9,60.7,8.5,13.2,12.7,59,8,6.8,13.3,114,0.261,0.346,0.579,0.549,0.193,105.5,0.261,0.37,0.541,0.5,0.206
"31",22.2,50.3,22.2,50.3,62.8,8.8,9.9,11.4,58.8,6.9,7,13.7,112.2,0.22,0.4,0.565,0.531,0.176,105.8,0.277,0.38,0.544,0.506,0.209
"32",23,51.3,24.4,51.3,60.7,6.6,8.2,11.5,58.4,7.4,8.4,11,114.7,0.263,0.369,0.575,0.546,0.191,119.8,0.246,0.366,0.597,0.563,0.197
"33",21,51.2,25.8,51.2,68.5,9.6,8.2,12.9,65.2,7.6,8.5,14.3,110.2,0.283,0.31,0.569,0.53,0.218,102.9,0.246,0.314,0.523,0.488,0.184
"34",25.6,47.3,21.9,47.3,64.6,8.4,8.8,15.3,54.4,9.1,9.5,12.6,107.3,0.269,0.337,0.56,0.524,0.206,106.1,0.306,0.335,0.537,0.494,0.232
"35",21.1,47.2,18.8,47.2,59.1,7.4,11.5,12,62.2,6.8,8.6,12,114.3,0.27,0.427,0.585,0.555,0.198,102.2,0.219,0.409,0.521,0.486,0.168
"36",21,50.6,22.7,50.6,61.6,7,9.2,11.3,59.2,6.6,7.6,12.1,111.1,0.217,0.31,0.562,0.529,0.173,107.9,0.244,0.371,0.544,0.507,0.191
"37",22.3,49.4,22.7,49.4,61.5,9.3,9.3,12.8,62.2,7.7,8.6,14.2,110.6,0.238,0.287,0.565,0.535,0.177,105.2,0.232,0.376,0.547,0.513,0.179
"38",18.6,51,23,51,67.1,7.7,8.5,13.3,65.8,8.4,8.2,13.2,109.2,0.258,0.437,0.572,0.534,0.205,110.4,0.229,0.466,0.562,0.529,0.18
"39",20,52.8,26.1,52.8,66.4,9.9,9.2,13.3,58.9,8.7,9.1,14.6,106.6,0.243,0.318,0.554,0.517,0.192,104,0.254,0.277,0.533,0.495,0.196
"40",25.3,47.9,21.3,47.9,64.9,7.3,7.1,12.7,63.6,7.6,8.8,13.6,114.1,0.234,0.423,0.576,0.541,0.188,109.1,0.258,0.469,0.561,0.523,0.203
"41",22.5,49.5,24,49.5,62,7.2,10.4,12.1,57.4,7.9,9,10.9,112.9,0.245,0.362,0.574,0.535,0.202,110.2,0.238,0.402,0.539,0.502,0.187
"42",22.2,52,24.9,52,58.7,8.1,8.2,11.7,58.9,7.8,8.5,13.7,110.8,0.24,0.325,0.56,0.534,0.17,111.9,0.272,0.375,0.571,0.536,0.208
"43",25.3,49.1,23.9,49.1,63.1,8.2,7.7,13.2,55,8.5,10.4,12.5,116.2,0.281,0.46,0.587,0.553,0.213,109.2,0.259,0.317,0.553,0.515,0.202
"44",22.2,50.5,24.3,50.5,63.4,8.6,10.2,12.5,66.3,6.9,10.4,13.8,111.3,0.249,0.408,0.568,0.53,0.199,105.4,0.25,0.429,0.534,0.497,0.19
"45",22.7,52.2,24.8,52.2,60.3,7.6,7.6,11.8,58.5,7.3,9,13.1,111.3,0.253,0.352,0.56,0.524,0.196,116.5,0.296,0.374,0.595,0.557,0.231
"46",23.6,48.8,23.3,48.8,64,7.5,8.2,12.8,59.8,9.1,9.3,12,112,0.236,0.402,0.568,0.536,0.183,106.7,0.203,0.384,0.533,0.504,0.152
"47",23.2,50.1,22,50.1,60.8,7.1,9,12.7,58.1,7.9,8.1,12.1,109.9,0.236,0.414,0.557,0.528,0.174,113.3,0.279,0.373,0.576,0.536,0.221
"48",24.8,50,23.5,50,63.2,8.4,9.6,15.4,65.2,10.4,9.7,13.4,104.5,0.26,0.38,0.544,0.511,0.192,112.4,0.312,0.372,0.577,0.54,0.232
"49",21.7,51.7,25.3,51.7,67,9.2,7.2,13.8,59.8,8.2,7.9,13.7,106.7,0.261,0.305,0.553,0.514,0.204,106.2,0.246,0.257,0.542,0.508,0.184
"50",21.3,50.2,25.2,50.2,63.8,9,8.1,14,55.5,9,8.2,13.1,110.2,0.253,0.276,0.576,0.54,0.201,101.3,0.239,0.209,0.51,0.473,0.182
"51",29,46.9,22,46.9,59.8,10.3,11.9,11.1,62.9,7.4,10.7,13.1,113.5,0.232,0.36,0.548,0.517,0.174,109.2,0.239,0.4,0.558,0.524,0.185
"52",20.1,54.2,27.6,54.2,60.4,8.7,8.8,12,60.4,7.7,8.3,13.9,110.2,0.271,0.366,0.562,0.526,0.207,113.7,0.276,0.362,0.578,0.54,0.216
"53",23.7,46.2,19.3,46.2,61.9,8.9,9.1,12.5,59.9,7.7,5.5,13.7,111,0.235,0.224,0.566,0.532,0.185,95.8,0.235,0.231,0.498,0.462,0.175
"54",22.3,49.3,23.6,49.3,61.7,8.1,7.1,13.6,53.6,7.9,7.6,12.8,110.8,0.233,0.248,0.575,0.544,0.179,102.5,0.216,0.219,0.518,0.485,0.165
"55",20.4,52.9,23.8,52.9,63.6,8.6,11.7,11.7,68.9,7,12.5,14.2,113.4,0.245,0.462,0.574,0.535,0.202,113.4,0.312,0.448,0.587,0.544,0.247
"56",21.5,47.8,20.2,47.8,63.4,7.4,8.2,13.2,62.9,7.9,8.3,12,112.6,0.302,0.399,0.585,0.546,0.233,108.9,0.273,0.426,0.553,0.514,0.21
"57",22.1,52.1,24.1,52.1,61.8,8.5,9.8,12.2,60.9,7.3,10,12.8,107.6,0.228,0.395,0.545,0.513,0.173,115.1,0.274,0.349,0.585,0.547,0.217
"58",24.5,50.4,25.4,50.4,63,8.3,6.3,12.7,56.9,7.6,8.4,12.6,104.9,0.226,0.263,0.527,0.495,0.17,107,0.268,0.244,0.536,0.495,0.209
"59",21.4,52.6,26.5,52.6,64.3,7.9,7.8,10.9,59.3,7.6,10.1,12.5,112.1,0.248,0.378,0.561,0.521,0.201,109.9,0.284,0.313,0.546,0.505,0.219
"60",20.8,49.8,20.7,49.8,58.4,6.7,10,11.2,60,6.9,7.4,10.8,112,0.247,0.312,0.566,0.529,0.198,112.9,0.242,0.382,0.567,0.533,0.187
